COU_ID;COU_NAME
457;Chile                            
458;Chile                            
459;Chile                            
460;Chile                            
461;Chile                            
462;Chile                            
463;Chile                            
464;Chile                            
465;Chile                            
466;Chile                            
467;Chile                            
468;Chile                            
469;Chile                            
470;Chile                            
471;Chile                            
472;Chile                            
473;Chile                            
474;Chile                            
475;Chile                            
476;Chile                            
477;Chile                            
478;Chile                            
479;Chile                            
480;Chile                            
481;Chile                            
482;Chile                            
483;Chile                            
484;Chile                            
485;Chile                            
486;Chile                            
487;Chile                            
488;Chile                            
489;Chile                            
490;Chile                            
491;Chile                            
492;Chile                            
493;Chile                            
494;Chile                            
495;Chile                            
496;Chile                            
497;Chile                            
498;Chile                            
499;Chile                            
500;Chile                            
501;Chile                            
502;Chile                            
503;Chile                            
504;Chile                            
505;Chile                            
506;Chile                            
507;Chile                            
508;Chile                            
509;Chile                            
510;Chile                            
511;Chile                            
512;Chile                            
513;Chile                            
514;Chile                            
515;Chile                            
516;Chile                            
517;Chile                            
518;Chile                            
519;Chile                            
520;Chile                            
521;Chile                            
522;Chile                            
523;Chile                            
524;Chile                            
525;Chile                            
526;Chile                            
527;Chile                            
528;Chile                            
529;Chile                            
530;Chile                            
531;Chile                            
532;Chile                            
533;Chile                            
534;Chile                            
535;Chile                            
536;Chile                            
537;Chile                            
538;Chile                            
539;Chile                            
540;Chile                            
541;Chile                            
542;Chile                            
543;Chile                            
544;Chile                            
545;Chile                            
546;Chile                            
547;Chile                            
548;Chile                            
549;Chile                            
550;Chile                            
551;Chile                            
552;Chile                            
553;Chile                            
554;Chile                            
555;Chile                            
556;Chile                            
557;Chile                            
558;Chile                            
559;Chile                            
560;Chile                            
561;Chile                            
562;Chile                            
563;Chile                            
564;Chile                            
565;Chile                            
566;Chile                            
567;Chile                            
568;Chile                            
569;Chile                            
570;Chile                            
571;Chile                            
572;Chile                            
573;Chile                            
574;Chile                            
575;Chile                            
576;Chile                            
577;Chile                            
578;Chile                            
579;Chile                            
580;Chile                            
581;Chile                            
582;Chile                            
583;Chile                            
584;Chile                            
585;Chile                            
586;Chile                            
587;Chile                            
588;Chile                            
589;Chile                            
590;Chile                            
591;Chile                            
592;Chile                            
593;Chile                            
594;Chile                            
595;Chile                            
596;Chile                            
597;Chile                            
598;Chile                            
599;Chile                            
600;Chile                            
601;Chile                            
602;Chile                            
603;Chile                            
604;Chile                            
605;Chile                            
606;Chile                            
607;Chile                            
608;Chile                            
609;Chile                            
610;Chile                            
611;Chile                            
612;Chile                            
613;Chile                            
614;Chile                            
615;Chile                            
616;Chile                            
617;Chile                            
618;Chile                            
619;Chile                            
620;Chile                            
621;Chile                            
622;Chile                            
623;Chile                            
624;Chile                            
625;Chile                            
626;Chile                            
627;Chile                            
628;Chile                            
629;Chile                            
630;Chile                            
631;Chile                            
632;Chile                            
633;Chile                            
634;Chile                            
635;Chile                            
636;Chile                            
637;Chile                            
638;Chile                            
639;Chile                            
640;Chile                            
641;Chile                            
642;Chile                            
643;Chile                            
644;Chile                            
645;Chile                            
646;Chile                            
647;Chile                            
648;Chile                            
649;Chile                            
650;Chile                            
651;Chile                            
652;Chile                            
653;Chile                            
654;Chile                            
655;Chile                            
656;Chile                            
657;Chile                            
658;Chile                            
659;Chile                            
660;Chile                            
661;Chile                            
662;Chile                            
663;Chile                            
664;Chile                            
665;Chile                            
666;Chile                            
667;Chile                            
668;Chile                            
669;Chile                            
670;Chile                            
671;Chile                            
672;Chile                            
673;Chile                            
674;Chile                            
675;Chile                            
676;Chile                            
677;Chile                            
678;Chile                            
679;Chile                            
680;Chile                            
681;Chile                            
682;Chile                            
683;Chile                            
684;Chile                            
685;Chile                            
686;Chile                            
687;Chile                            
688;Chile                            
689;Chile                            
690;Chile                            
691;Chile                            
692;Chile                            
693;Chile                            
694;Chile                            
695;Chile                            
696;Chile                            
697;Chile                            
698;Chile                            
699;Chile                            
700;Chile                            
701;Chile                            
702;Chile                            
703;Chile                            
704;Chile                            
705;Chile                            
706;Chile                            
707;Chile                            
708;Chile                            
709;Chile                            
710;Chile                            
711;Chile                            
712;Chile                            
713;Chile                            
714;Chile                            
715;Chile                            
716;Chile                            
717;Chile                            
718;Chile                            
719;Chile                            
720;Chile                            
721;Chile                            
722;Chile                            
723;Chile                            
724;Chile                            
725;Chile                            
726;Chile                            
727;Chile                            
728;Chile                            
729;Chile                            
730;Chile                            
731;Chile                            
732;Chile                            
733;Chile                            
734;Chile                            
735;Chile                            
736;Chile                            
737;Chile                            
738;Chile                            
739;Chile                            
740;Chile                            
741;Chile                            
742;Chile                            
743;Chile                            
744;Chile                            
745;Chile                            
746;Chile                            
747;Chile                            
748;Chile                            
749;Chile                            
750;Chile                            
751;Chile                            
752;Chile                            
753;Chile                            
754;Chile                            
755;Chile                            
756;Chile                            
757;Chile                            
758;Chile                            
759;Chile                            
760;Chile                            
761;Chile                            
762;Chile                            
763;Chile                            
764;Chile                            
765;Chile                            
766;Chile                            
767;Chile                            
768;Chile                            
769;Chile                            
770;Chile                            
771;Chile                            
772;Chile                            
773;Chile                            
774;Chile                            
775;Chile                            
776;Chile                            
777;Chile                            
778;Chile                            
779;Chile                            
780;Chile                            
781;Chile                            
782;Chile                            
783;Chile                            
784;Chile                            
785;Chile                            
786;Chile                            
787;Chile                            
788;Chile                            
789;Chile                            
790;Chile                            
791;Chile                            
792;Chile                            
793;Chile                            
794;Chile                            
795;Chile                            
796;Chile                            
797;Chile                            
798;Chile                            
799;Chile                            
800;Chile                            
801;Chile                            
802;Chile                            
803;Chile                            
804;Chile                            
805;Chile                            
806;Chile                            
807;Chile                            
808;Chile                            
809;Chile                            
810;Chile                            
811;Chile                            
812;Chile                            
813;Chile                            
814;Chile                            
815;Chile                            
816;Chile                            
817;Chile                            
818;Chile                            
819;Chile                            
820;Chile                            
821;Chile                            
822;Chile                            
823;Chile                            
824;Chile                            
825;Chile                            
826;Chile                            
827;Chile                            
828;Chile                            
829;Chile                            
830;Chile                            
831;Chile                            
832;Chile                            
833;Chile                            
834;Chile                            
835;Chile                            
836;Chile                            
837;Chile                            
838;Chile                            
839;Chile                            
840;Chile                            
841;Chile                            
842;Chile                            
843;Chile                            
844;Chile                            
845;Chile                            
846;Chile                            
847;Chile                            
848;Chile                            
849;Chile                            
850;Chile                            
851;Chile                            
852;Chile                            
853;Chile                            
854;Chile                            
855;Chile                            
856;Chile                            
857;Chile                            
858;Chile                            
859;Chile                            
860;Chile                            
861;Chile                            
862;Chile                            
863;Chile                            
864;Chile                            
865;Chile                            
866;Chile                            
867;Chile                            
868;Chile                            
869;Chile                            
870;Chile                            
871;Chile                            
872;Chile                            
