FAI_VOL_ID;FAI_EAR_ID;FAI_CRA_ID;FAI_COU_ID;FAI_YEA_NUMBER;FAI_MAGNITUDE;FAI_TSUNAMI;FAI_FATALITIES
4987;303;998;564;2011;6.7;0;21
5114;303;998;564;2011;6.7;0;21
2523;303;998;565;2011;6.7;0;21
4987;303;998;565;2011;6.7;0;21
5114;303;998;565;2011;6.7;0;21
2523;303;998;566;2011;6.7;0;21
4987;303;998;566;2011;6.7;0;21
5114;303;998;566;2011;6.7;0;21
2523;303;998;567;2011;6.7;0;21
4987;303;998;567;2011;6.7;0;21
5114;303;998;567;2011;6.7;0;21
2523;303;998;568;2011;6.7;0;21
4987;303;998;568;2011;6.7;0;21
5114;303;998;568;2011;6.7;0;21
2523;303;998;569;2011;6.7;0;21
4987;303;998;569;2011;6.7;0;21
5114;303;998;569;2011;6.7;0;21
2523;303;998;570;2011;6.7;0;21
4987;303;998;570;2011;6.7;0;21
5114;303;998;570;2011;6.7;0;21
2523;303;998;571;2011;6.7;0;21
4987;303;998;571;2011;6.7;0;21
5114;303;998;571;2011;6.7;0;21
2523;303;998;572;2011;6.7;0;21
4987;303;998;572;2011;6.7;0;21
5114;303;998;572;2011;6.7;0;21
2523;303;998;573;2011;6.7;0;21
4987;303;998;573;2011;6.7;0;21
5114;303;998;573;2011;6.7;0;21
2523;303;998;574;2011;6.7;0;21
4987;303;998;574;2011;6.7;0;21
5114;303;998;574;2011;6.7;0;21
2523;303;998;575;2011;6.7;0;21
4987;303;998;575;2011;6.7;0;21
5114;303;998;575;2011;6.7;0;21
2523;303;998;576;2011;6.7;0;21
4987;303;998;576;2011;6.7;0;21
5114;303;998;576;2011;6.7;0;21
2523;303;998;577;2011;6.7;0;21
4987;303;998;577;2011;6.7;0;21
5114;303;998;577;2011;6.7;0;21
2523;303;998;578;2011;6.7;0;21
4987;303;998;578;2011;6.7;0;21
5114;303;998;578;2011;6.7;0;21
2523;303;998;579;2011;6.7;0;21
4987;303;998;579;2011;6.7;0;21
5114;303;998;579;2011;6.7;0;21
2523;303;998;580;2011;6.7;0;21
4987;303;998;580;2011;6.7;0;21
5114;303;998;580;2011;6.7;0;21
2523;303;998;581;2011;6.7;0;21
4987;303;998;581;2011;6.7;0;21
5114;303;998;581;2011;6.7;0;21
2523;303;998;582;2011;6.7;0;21
4987;303;998;582;2011;6.7;0;21
5114;303;998;582;2011;6.7;0;21
2523;303;998;583;2011;6.7;0;21
4987;303;998;583;2011;6.7;0;21
5114;303;998;583;2011;6.7;0;21
2523;303;998;584;2011;6.7;0;21
4987;303;998;584;2011;6.7;0;21
5114;303;998;584;2011;6.7;0;21
2523;303;998;585;2011;6.7;0;21
4987;303;998;585;2011;6.7;0;21
5114;303;998;585;2011;6.7;0;21
2523;303;998;586;2011;6.7;0;21
