PLA_TYPE;Date;Country;PLA_ID
Beech Queen Air 65-A80                  ;02/04/1985;Alaska;308
Beech Queen Air A80                     ;06/23/1978;Newfoundland;309
Beechcraft 100 King Air                 ;10/27/2011;BC;310
Beechcraft 18H                          ;12/10/1967;Wisconsin;311
Beechcraft 1900-C / Beech King Air A90  ;11/19/1996;Illinois;312
Beechcraft 1900C                        ;11/23/1987;Alaska;313
Beechcraft 1900C-1                      ;05/18/1990;Philippines;314
Beechcraft 1900D                        ;08/26/2003;Massachusetts;315
Beechcraft 1900D / Cessna 177           ;07/30/1998;France;316
Beechcraft 35-B33 Debonair              ;07/31/1964;Tennesee;317
Beechcraft 95-B55                       ;10/28/1974;Colorado;318
Beechcraft 99                           ;04/30/1974;Texas;319
Beechcraft 99A                          ;01/06/1974;Pennsylvania;320
Beechcraft A100 King Air                ;06/23/2010;Canada;321
Beechcraft B-99                         ;07/06/1969;Georgia;322
Beechcraft B200 Super King Air          ;02/21/2017;Victoria;323
Beechcraft B300 King Air                ;07/30/2019;India;324
Beechcraft B99                          ;10/24/1971;Pennsylvania;325
Beechcraft BE-99-C99                    ;07/10/1991;Alabama;326
Beechcraft Bonanza 35                   ;02/03/1959;Iowa;327
Beechcraft Bonanza F35                  ;03/19/1982;Florida;328
Beechcraft C-45H                        ;09/27/1965;Vietnam;329
Beechcraft C35                          ;04/22/1971;New Hampshire;330
Beechcraft C45G                         ;11/03/1964;Colorado;331
Beechcraft C99                          ;04/30/1990;ON;332
Beechcraft C99 / Rockwell 112TC         ;08/24/1984;California;333
Beechcraft E18S                         ;09/20/1973;Louisiana;334
Beechcraft H50                          ;07/24/1966;Indiana;335
Beechcraft SKA 200                      ;09/04/2000;Australia;336
Beechcraft Super King Air 200           ;02/21/1980;NSW;337
Bell 204B helicopter                    ;10/08/1966;Louisiana;338
Bell 205 A-1 helicopter                 ;04/23/1976;;339
Bell 205-1                              ;10/08/1978;Alaska;340
Bell 205A                               ;01/02/1969;Alaska;341
Bell 205A-1 helicopter                  ;08/06/1980;Louisiana;342
Bell 206 L-1                            ;01/20/1985;New Mexico;343
Bell 206-L4 Jet Ranger III              ;12/11/2008;Texas;344
Bell 206B                               ;02/19/1973;Louisiana;345
Bell 206B helicopter                    ;10/25/1991;California;346
Bell 206B JetRanger                     ;08/01/1977;California;347
Bell 206B3                              ;01/03/1993;Utah;348
Bell 206L                               ;10/18/2001;Alaska;349
Bell 206L-3                             ;05/25/1998;North Carolina;350
Bell 206L-4                             ;08/12/1994;New Jersey;351
